food_code,food_name,food_name_eng,food_name_sci,food_group_code,food_group_name,food_subgroup_code,food_subgroup_name,food_subsubgroup_code,food_subsubgroup_name,source_file,"Energy, Regulation EU No 1169/2011 (kJ/100g)","Energy, Regulation EU No 1169/2011 (kcal/100g)","Energy, N x Jones' factor, with fibres (kJ/100g)","Energy, N x Jones' factor, with fibres (kcal/100g)",Water (g/100g),Protein (g/100g),"Protein, crude, N x 6.25 (g/100g)",Carbohydrate (g/100g),Fat (g/100g),Sugars (g/100g),fructose (g/100g),galactose (g/100g),glucose (g/100g),lactose (g/100g),maltose (g/100g),sucrose (g/100g),Starch (g/100g),Fibres (g/100g),Polyols (g/100g),Ash (g/100g),Alcohol (g/100g),Organic acids (g/100g),FA saturated (g/100g),FA mono (g/100g),FA poly (g/100g),FA 4:0 (g/100g),FA 6:0 (g/100g),FA 8:0 (g/100g),FA 10:0 (g/100g),FA 12:0 (g/100g),FA 14:0 (g/100g),FA 16:0 (g/100g),FA 18:0 (g/100g),FA 18:1 n-9 cis (g/100g),"FA 18:2 9c,12c (n-6) (g/100g)","FA 18:3 c9,c12,c15 (n-3) (g/100g)","FA 20:4 5c,8c,11c,14c (n-6) (g/100g)","FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholesterol (mg/100g),Salt (g/100g),Calcium (mg/100g),Chloride (mg/100g),Copper (mg/100g),Iron (mg/100g),Iodine (µg/100g),Magnesium (mg/100g),Manganese (mg/100g),Phosphorus (mg/100g),Potassium (mg/100g),Selenium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Retinol (µg/100g),Beta-carotene (µg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),Vitamin K2 (µg/100g),Vitamin C (mg/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin B12 (µg/100g)
20169,"Tomato pulp, canned","Tomato pulp, canned",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,110.0,26.1,110.0,26.1,93.0,1.2,1.2,3.63,0.25,3.2,1.7,0.0,1.5,0.1,0.1,0.1,0.175,1.8,0.25,0.62,0.0,0.45,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0,0.068,20.0,117.0,0.08,0.39,10.0,11.0,0.08,20.0,260.0,10.0,27.1,0.09,0.0,1980.0,0.125,1.3,0.4,,10.5,0.036,0.023,0.65,0.054,0.083,30.2,0.0
20170,"Tomato puree, canned","Tomato puree, canned",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,199.0,47.1,199.0,47.1,85.6,1.4,1.4,7.54,0.4,3.64,1.7,,1.86,,0.12,0.13,,2.38,0.011,1.68,0.0,1.0,0.085,0.057,0.23,0.005,0.005,0.005,0.005,0.005,0.005,0.072,0.013,0.053,0.2,0.023,0.0,,0.005,0.0,0.51,19.9,283.0,0.15,0.6,2.2,30.0,0.16,41.9,798.0,0.4,239.0,0.2,0.0,,0.0,2.3,,,9.0,0.1,0.05,1.3,0.25,0.18,72.0,0.0
20188,"Bamboo shoots, canned, drained","Bamboo shoots, canned, drained",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,95.0,1.61,1.61,1.9,0.15,1.15,0.15,,0.28,,0.15,0.15,,1.25,,0.43,0.0,0.0,0.041,0.004,0.078,0.0,0.0,0.0,0.0,0.0013,0.0016,0.034,0.0038,,,,,0.0,0.0,0.0,0.19,17.0,,0.098,0.24,,3.5,0.14,26.8,196.0,,74.1,0.56,0.0,8.0,0.0,0.63,0.0,,1.1,0.017,0.039,0.16,0.079,0.12,2.5,0.0
20205,"Broccoli, frozen, cooked","Broccoli, frozen, cooked",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,90.7,3.1,3.1,2.36,0.11,1.47,,,,,,,,3.0,,0.71,0.0,0.0,0.018,0.008,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.002,,,,,0.0,0.0,0.0,0.06,51.0,,0.043,0.61,,20.0,0.33,55.0,180.0,,24.0,0.3,0.0,597.0,0.0,1.32,88.1,,40.1,0.055,0.081,0.46,0.27,0.13,30.0,0.0
20207,"Brussels sprout, frozen, cooked","Brussels sprout, frozen, cooked",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,86.7,3.64,3.64,4.22,0.39,2.08,,,,,,,,4.1,,0.91,0.0,0.0,0.081,0.03,0.2,0.0,0.0,0.002,0.0,0.0,0.001,0.069,0.004,,,,,0.0,0.0,0.0,0.038,26.0,,0.034,0.48,,18.0,0.21,56.0,290.0,,15.0,0.24,0.0,555.0,0.0,0.51,194.0,,45.7,0.1,0.11,0.54,0.34,0.29,101.0,0.0
20209,"Carrot, frozen, cooked","Carrot, frozen, cooked",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,137.0,32.9,137.0,32.9,90.3,0.58,0.58,4.52,0.68,4.08,0.28,0.0,0.36,0.0,0.0,3.44,0.31,3.3,0.13,0.69,0.0,0.0,0.12,0.031,0.33,0.0,0.0,0.0,0.0,0.006,0.006,0.1,0.006,,,,,0.0,0.0,0.0,0.15,35.0,,0.082,0.53,,11.0,0.17,31.0,192.0,,59.0,0.35,0.0,8200.0,0.0,1.01,13.6,,2.3,0.03,0.037,0.42,0.17,0.084,11.0,0.0
20212,"Shiitake mushroom, cooked","Shiitake mushroom, cooked",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,258.0,60.9,258.0,60.9,83.5,1.56,1.56,12.3,0.22,3.84,,,,,,,,2.1,0.4,0.35,0.0,0.0,0.05,0.07,0.034,0.0,0.0,0.0,0.004,0.002,0.004,0.027,0.012,,,,,0.0,0.0,0.0,0.01,3.0,,0.9,0.44,,14.0,0.2,29.0,117.0,,4.0,1.33,0.0,0.0,0.7,0.0,0.0,,0.3,0.037,0.17,1.5,3.59,0.16,21.0,0.0
20215,"Garden peas and carrots, frozen, cooked","Garden peas and carrots, frozen, cooked",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,85.8,3.09,3.09,7.02,0.42,4.36,,,,,,,,3.1,,0.57,0.0,0.0,0.077,0.035,0.2,0.0,0.0,0.0,0.0,0.001,0.0,0.068,0.007,,,,,0.0,0.0,0.0,0.17,23.0,,0.076,0.94,,16.0,0.2,49.0,158.0,,68.0,0.45,0.0,4730.0,0.0,0.52,18.8,,8.1,0.23,0.064,1.15,0.16,0.087,26.0,0.0
20216,"Snow pea, boiled/cooked in water","Snow pea, boiled/cooked in water",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,128.0,30.5,128.0,30.5,90.9,2.25,2.25,3.39,0.3,2.3,0.1,,1.6,0.1,0.1,0.7,0.8,2.8,0.25,0.36,0.0,0.0043,0.08,0.07,0.11,0.005,0.005,0.005,0.005,0.005,0.005,0.06,0.02,0.07,0.07,0.04,0.005,0.005,0.005,0.0,0.013,35.0,10.0,0.08,0.46,10.0,14.0,0.18,40.0,100.0,10.0,5.0,0.28,0.0,501.0,0.125,0.59,3.87,,20.6,0.073,0.005,0.39,0.22,0.022,56.0,0.0
20219,"Curly kale, cooked","Curly kale, cooked",,2,"fruits, vegetables, legumes and nuts",201,vegetables,20102,"vegetables, cooked",ciqual_2020.csv,,,,,91.2,1.9,1.9,3.63,0.4,1.25,,,,,,,,2.0,,0.87,0.0,0.0,0.052,0.03,0.19,0.0,0.0,0.0,0.0,0.001,0.002,0.043,0.002,,,,,0.0,0.0,0.0,0.058,72.0,,0.16,0.9,,18.0,0.42,28.0,228.0,,23.0,0.24,0.0,,0.0,0.85,817.0,,41.0,0.053,0.07,0.5,0.049,0.14,13.0,0.0
