food_code,food_name,food_name_eng,food_name_sci,food_group_code,food_group_name,food_subgroup_code,food_subgroup_name,food_subsubgroup_code,food_subsubgroup_name,source_file,"Energy, Regulation EU No 1169/2011 (kJ/100g)","Energy, Regulation EU No 1169/2011 (kcal/100g)","Energy, N x Jones' factor, with fibres (kJ/100g)","Energy, N x Jones' factor, with fibres (kcal/100g)",Water (g/100g),Protein (g/100g),"Protein, crude, N x 6.25 (g/100g)",Carbohydrate (g/100g),Fat (g/100g),Sugars (g/100g),fructose (g/100g),galactose (g/100g),glucose (g/100g),lactose (g/100g),maltose (g/100g),sucrose (g/100g),Starch (g/100g),Fibres (g/100g),Polyols (g/100g),Ash (g/100g),Alcohol (g/100g),Organic acids (g/100g),FA saturated (g/100g),FA mono (g/100g),FA poly (g/100g),FA 4:0 (g/100g),FA 6:0 (g/100g),FA 8:0 (g/100g),FA 10:0 (g/100g),FA 12:0 (g/100g),FA 14:0 (g/100g),FA 16:0 (g/100g),FA 18:0 (g/100g),FA 18:1 n-9 cis (g/100g),"FA 18:2 9c,12c (n-6) (g/100g)","FA 18:3 c9,c12,c15 (n-3) (g/100g)","FA 20:4 5c,8c,11c,14c (n-6) (g/100g)","FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholesterol (mg/100g),Salt (g/100g),Calcium (mg/100g),Chloride (mg/100g),Copper (mg/100g),Iron (mg/100g),Iodine (µg/100g),Magnesium (mg/100g),Manganese (mg/100g),Phosphorus (mg/100g),Potassium (mg/100g),Selenium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Retinol (µg/100g),Beta-carotene (µg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),Vitamin K2 (µg/100g),Vitamin C (mg/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin B12 (µg/100g)
24999,Desert (average),Desert (average),,0,,0,,0,,ciqual_2020.csv,,,,,45.4,4.63,4.61,36.6,12.9,23.7,1.81,,2.18,1.89,1.07,15.7,9.53,1.54,,0.92,0.081,0.083,5.18,4.74,1.68,0.14,0.19,0.083,0.14,0.35,0.55,2.47,0.99,4.62,1.32,0.37,0.012,0.0041,0.0051,56.7,0.38,75.0,178.0,0.15,1.45,11.0,23.8,0.23,107.0,181.0,7.04,153.0,0.5,56.3,34.6,0.27,1.97,,,1.37,0.084,0.15,0.61,0.4,0.056,30.8,0.21
25601,"Prepared mixed tuna and vegetable salad, canned","Prepared mixed tuna and vegetable salad, canned",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,76.5,9.15,9.15,7.74,4.7,3.08,0.82,,0.78,,0.15,0.97,4.1,2.7,,1.79,0.0,,0.56,1.83,1.76,0.025,0.025,0.025,0.025,0.025,0.008,0.38,0.12,,1.15,0.056,,0.008,0.039,19.2,1.11,20.7,731.0,0.1,1.1,2.0,25.1,0.1,88.4,232.0,,445.0,0.6,1.0,,0.25,1.6,,,2.75,0.02,0.053,4.45,0.08,0.29,31.0,1.45
25602,"Prepared mixed meat/fish canned, salad","Prepared mixed meat/fish canned, salad",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,76.7,8.06,8.06,6.4,5.3,1.9,0.7,,0.6,0.1,0.1,0.6,3.3,2.0,,1.5,0.0,,0.16,3.27,1.54,0.005,0.005,0.005,0.005,0.005,0.005,0.12,0.04,2.24,1.08,0.28,0.016,0.016,0.15,15.2,0.95,22.0,584.0,0.07,0.7,10.0,20.0,0.1,92.0,220.0,30.0,381.0,0.38,10.5,781.0,0.44,2.04,9.75,,,0.032,0.022,4.13,0.2,0.12,11.1,1.23
25605,"Greek-style marinated mushrooms, prepacked","Greek-style marinated mushrooms, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,85.2,2.08,2.08,3.95,3.55,2.38,0.7,,1.0,0.15,0.15,0.3,0.99,2.35,,1.65,0.0,,0.23,0.2,1.67,,,,,,,,,,,0.026,,,,0.11,1.26,27.0,,0.17,1.06,2.46,13.5,0.13,64.1,277.0,1.79,500.0,0.4,0.0,747.0,0.0,1.08,,,6.67,0.056,0.21,1.84,0.88,0.088,19.6,0.018
25606,"Prepared potatoes salad, home-made","Prepared potatoes salad, home-made",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,76.0,2.68,2.68,9.9,8.2,,,,,,,,,1.3,,1.95,0.0,,1.43,2.48,3.74,,,,0.0,0.011,0.013,1.03,0.37,,,,,,,68.0,1.32,19.0,,0.12,0.65,,15.0,0.1,52.0,254.0,,529.0,0.31,29.0,36.0,0.0,,,,10.0,0.077,0.06,0.89,0.53,0.14,7.0,0.0
25608,"Tabbouleh, prepacked","Tabbouleh, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,753.0,179.0,753.0,179.0,60.3,4.88,4.88,23.7,6.7,4.9,2.0,0.1,1.5,0.1,1.4,0.1,17.7,2.5,0.9,1.52,0.0,0.38,0.67,4.23,1.45,0.005,0.005,0.005,0.005,0.005,0.005,0.47,0.15,3.95,1.1,0.34,0.005,0.005,0.005,0.1,1.0,24.0,647.0,0.16,0.88,10.0,25.0,0.4,80.0,210.0,10.0,399.0,0.65,0.0,149.0,0.0,1.26,10.6,,6.27,0.087,0.024,0.5,0.26,0.052,14.5,0.0
25609,"Potato salad, piémontaise-style, prepacked","Potato salad, piémontaise-style, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,542.0,130.0,542.0,130.0,75.8,4.5,4.5,8.87,8.3,1.2,0.5,0.1,0.7,0.1,0.1,0.1,6.0,0.25,0.25,1.74,0.0,0.54,0.82,5.02,2.04,0.005,0.005,0.005,0.005,0.005,0.01,0.54,0.2,4.57,1.47,0.57,0.005,0.005,0.005,29.6,1.08,13.0,709.0,0.07,0.43,10.0,16.0,0.08,72.0,300.0,10.0,433.0,0.49,10.5,93.6,0.5,3.96,10.9,,21.6,0.08,0.049,0.98,0.44,0.099,21.6,
25614,"Prepared rice salad, canned","Prepared rice salad, canned",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,72.5,5.13,5.13,16.1,4.35,1.0,,,,,,,14.3,1.7,,1.49,0.0,,0.53,2.23,,,,,,0.0042,0.0083,0.36,0.12,2.23,1.05,0.2,,,0.013,6.5,1.1,23.3,,0.05,0.43,2.5,13.1,0.1,66.6,143.0,17.7,431.0,0.3,1.0,34.0,0.25,1.63,,,4.48,0.058,0.045,2.65,0.14,0.13,33.5,0.43
25615,"Prepared pasta salad, vegetarian","Prepared pasta salad, vegetarian",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,72.6,5.7,5.7,13.7,8.1,2.3,0.6,0.0,0.6,0.0,0.1,0.8,10.0,1.7,,1.18,0.0,,2.37,1.46,3.92,,,,,,,,,,,,,,,6.0,1.04,14.0,86.0,0.06,0.6,4.0,11.0,0.2,37.0,84.0,,51.0,0.4,7.0,1180.0,0.0,1.95,,,21.0,0.04,0.02,0.4,0.0,0.09,16.0,0.0
25616,"Salad, vegetable, without dressing (average)","Salad, vegetable, without dressing (average)",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,125.0,29.9,125.0,29.9,93.2,0.94,0.94,3.07,0.7,2.27,1.12,,1.02,0.085,0.085,0.58,0.22,1.51,0.29,0.69,0.0,0.094,0.12,0.29,0.095,0.0041,0.0041,0.0041,0.0041,0.0041,0.0037,0.12,0.0074,0.21,0.078,0.017,0.0043,0.0041,0.0041,0.076,0.031,25.1,44.9,0.048,0.42,7.21,11.7,0.17,25.6,241.0,7.79,12.5,0.17,0.017,1930.0,0.093,0.34,24.0,,12.2,0.042,0.025,0.37,0.17,0.082,38.8,0.0
25619,"Prepared pasta salad, with vegetable, meat or fish, prepacked","Prepared pasta salad, with vegetable, meat or fish, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,70.5,5.19,5.19,14.0,9.94,2.16,1.04,,0.86,,0.14,0.26,7.92,1.98,,1.4,0.0,,1.74,5.85,1.91,,,,,,,,,,,,,0.0023,0.0098,11.3,0.95,19.0,492.0,0.085,0.95,3.13,23.3,0.15,69.4,193.0,5.3,378.0,0.53,11.0,494.0,0.12,1.18,,,12.3,0.064,0.057,1.77,0.28,0.14,18.4,0.14
25626,"Mixed diced vegetables salad, w sauce, prepacked","Mixed diced vegetables salad, w sauce, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,78.3,2.81,2.81,7.0,9.3,2.3,0.15,,0.15,0.15,0.15,1.5,,4.11,,1.47,0.0,,0.7,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,426.0,,,,,,,,,,,,,,,
25628,"Caesar's salad (salad, chicken, croûtons, sauce), prepacked","Caesar's salad (salad, chicken, croûtons, sauce), prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,71.8,8.13,8.13,4.88,10.0,1.71,0.6,,0.51,0.1,0.6,0.1,3.17,2.0,,1.54,0.0,1.66,2.36,4.99,2.09,0.08,0.05,0.03,0.06,0.08,0.26,1.26,0.41,4.6,1.7,0.39,0.005,0.005,0.005,40.7,0.75,100.0,483.0,0.11,0.5,10.0,19.0,0.15,150.0,300.0,10.0,301.0,0.69,27.9,627.0,0.125,2.24,32.0,,1.11,0.096,0.068,2.29,0.47,0.094,29.3,0.48
25629,"Salad, veggie, bulgur and/or quinoa-based, with vegetables, prepacked","Salad, veggie, bulgur and/or quinoa-based, with vegetables, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,704.0,168.0,699.0,167.0,65.5,3.79,4.06,17.4,8.3,4.61,0.99,0.05,1.9,0.05,1.72,0.05,9.9,3.3,0.0,1.32,0.0,0.35,0.92,3.95,3.04,0.005,0.005,0.005,0.005,0.005,0.01,0.58,0.24,3.71,2.79,0.25,0.005,0.005,0.005,,0.77,37.0,484.0,0.16,1.2,10.0,46.0,0.62,110.0,140.0,10.0,309.0,0.77,,611.0,0.125,2.67,10.0,,0.25,0.071,0.005,0.18,0.27,0.059,22.1,
26257,"Grated carrots, w sauce, prepacked","Grated carrots, w sauce, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,84.7,0.98,0.98,6.01,5.0,5.2,0.54,,0.77,0.1,0.115,3.2,,3.64,,1.3,0.0,,0.43,2.53,1.82,,,,,,,,,,0.97,0.24,,,,,0.67,31.0,,,,,,,,,,264.0,,,,,,,,,,,,,,,
26258,"Beetroot salad, w sauce, prepacked","Beetroot salad, w sauce, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,83.5,1.29,1.29,7.45,4.94,5.3,0.46,,0.5,0.051,0.05,4.29,,2.66,,1.34,0.0,,0.37,1.79,1.9,,,,0.12,,,,,,,,,,,,0.7,21.0,,,4.0,,,,,,,280.0,,,,,,,,5.0,,,,,,,
26259,"Coleslaw, w sauce, prepacked","Coleslaw, w sauce, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,435.0,105.0,435.0,105.0,80.4,0.94,0.94,5.78,8.1,4.72,0.85,,1.06,0.1,0.1,2.82,0.175,3.0,1.06,1.45,0.0,0.34,0.63,4.83,2.2,0.005,0.005,0.005,0.005,0.005,0.01,0.41,0.13,4.39,1.54,0.66,0.005,0.005,0.005,,0.88,39.0,556.0,0.03,1.3,10.0,9.3,0.26,29.0,210.0,10.0,353.0,0.27,,1340.0,0.125,2.21,23.0,,21.6,0.026,0.005,0.05,0.21,0.093,14.6,
26260,"Cucumber salad, w fresh cream cheese sauce, prepacked","Cucumber salad, w fresh cream cheese sauce, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,,1.1,1.1,1.97,11.3,1.39,,,,,,,,1.48,,1.07,0.0,,1.35,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,411.0,,,,,,,,,,,,,,,
26261,"Lentil salad w smoked sausage, prepacked","Lentil salad w smoked sausage, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,,7.0,7.0,8.9,11.8,0.9,,,,,,,,3.6,,0.89,0.0,,0.9,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,355.0,,,,,,,,,,,,,,,
26262,"Greec salad, w sauce, prepacked","Greec salad, w sauce, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,,2.0,2.0,1.4,7.1,1.4,,,,,,,,2.0,,1.04,0.0,,2.7,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,416.0,,,,,,,,,,,,,,,
26263,"Rice salad, nicoise style, w sauce, prepacked","Rice salad, nicoise style, w sauce, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,73.7,4.45,4.45,15.8,6.08,1.35,0.5,,0.48,,0.15,0.38,,1.5,,1.46,0.0,,0.63,2.51,0.97,,,,,,,,,,0.64,0.3,,,,,0.76,,,,,,,,,,,300.0,,,,,,,,,,,,,,,
26269,"Tabbouleh with chicken, prepacked","Tabbouleh with chicken, prepacked",,1,starters and dishes,101,mixed salads,0,-,ciqual_2020.csv,,,,,62.6,6.4,6.4,20.6,7.45,2.48,0.8,,0.8,0.1,0.7,0.1,16.6,2.02,,1.59,0.0,,0.86,3.78,1.75,0.005,0.005,0.005,0.005,0.02,0.02,0.57,0.15,3.78,1.33,0.42,0.005,0.005,0.005,8.24,1.05,18.0,661.0,0.1,0.8,10.0,24.0,0.32,100.0,190.0,10.0,424.0,0.65,10.5,135.0,0.125,1.48,3.22,,0.25,0.14,0.045,1.16,0.4,0.096,96.5,0.1
25900,"Soup, lentils, prepacked, to be reheated","Soup, lentils, prepacked, to be reheated",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,232.0,55.0,232.0,55.0,85.8,3.74,3.74,6.6,1.12,0.7,,,,,,,,1.8,0.0,1.24,0.0,0.0,0.45,0.52,0.13,,,,0.0,0.0,0.02,0.27,0.16,,,,,,,3.0,0.36,25.0,,0.17,1.07,4.0,19.0,0.24,74.0,144.0,16.1,143.0,0.61,0.0,430.0,,0.0,,,1.7,0.07,0.045,0.55,0.14,0.09,20.0,0.12
25901,"Soup, chicken and vegetables, prepacked, to be reheated","Soup, chicken and vegetables, prepacked, to be reheated",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,129.0,30.8,129.0,30.8,,3.09,3.09,2.6,0.8,1.2,,,,,,,,0.4,0.0,1.75,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,700.0,,,,,,,,,,,1.9,,,,0.11
25903,"Soup, mixed vegetables, prepacked, to be reheated","Soup, mixed vegetables, prepacked, to be reheated",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,165.0,39.4,165.0,39.4,90.2,0.76,0.76,5.05,1.56,1.72,0.29,,0.29,0.1,0.1,1.15,2.2,1.1,0.0,1.0,0.0,0.0,0.55,0.5,0.11,0.026,0.017,0.0086,0.017,0.026,0.077,0.28,0.094,0.44,0.1,0.0063,0.005,0.005,0.005,3.7,0.69,14.0,442.0,0.02,0.14,10.0,5.3,0.04,19.0,110.0,10.0,275.0,0.11,10.5,1710.0,0.0,0.62,2.53,,5.75,0.29,0.062,0.31,0.33,0.16,39.8,0.052
25904,"Soup, fish and/or crustacean, prepacked, to be reheated","Soup, fish and/or crustacean, prepacked, to be reheated",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,179.0,42.8,179.0,42.8,89.4,3.45,3.45,2.88,1.79,0.9,0.3,,0.3,0.3,0.1,0.1,1.7,0.69,0.0,1.66,0.0,0.0,0.58,0.93,0.25,0.01,0.005,0.005,0.01,0.01,0.07,0.29,0.08,0.71,0.13,0.035,0.005,0.035,0.053,30.0,0.86,130.0,611.0,0.07,0.61,70.0,11.0,0.05,80.0,110.0,10.0,343.0,0.25,59.8,446.0,0.1,0.32,0.93,,0.25,0.03,0.039,0.63,0.18,0.032,2.5,1.35
25905,"Soup, mixed vegetables, dehydrated and reconstituted","Soup, mixed vegetables, dehydrated and reconstituted",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,144.0,34.5,144.0,34.5,90.9,0.86,0.86,4.43,1.22,1.07,0.1,,0.1,0.2,0.1,0.7,2.6,1.16,0.0,1.02,0.0,0.0,0.39,0.45,0.091,0.0045,0.005,0.005,0.005,0.009,0.023,0.3,0.05,0.45,0.081,0.01,0.005,0.005,0.005,2.12,0.69,21.0,426.0,0.03,0.19,1.0,7.0,0.05,12.5,60.0,10.0,276.0,0.12,10.5,261.0,0.0,0.19,2.42,,3.28,0.05,0.24,0.13,0.12,0.044,8.4,0.029
25907,"Soup, leek and potato, prepacked, to be reheated","Soup, leek and potato, prepacked, to be reheated",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,155.0,37.1,155.0,37.1,90.8,0.79,0.79,4.46,1.51,0.81,0.2,,0.3,0.2,0.1,0.1,3.2,1.28,0.0,0.97,0.0,0.0,0.6,0.53,0.27,0.032,0.019,0.013,0.025,0.032,0.089,0.28,0.1,0.53,0.18,0.09,0.005,0.005,0.005,4.73,0.73,16.0,450.0,0.02,0.17,10.0,5.6,0.04,16.0,94.0,10.0,290.0,0.13,10.5,120.0,,0.28,9.13,,7.95,0.01,0.03,0.23,0.14,0.23,29.3,0.045
25908,"Soup, chicken and vermicelli, prepacked, to be reheated","Soup, chicken and vermicelli, prepacked, to be reheated",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,129.0,30.8,129.0,30.8,93.8,1.3,1.3,3.86,1.0,0.77,,,,,,,,0.56,0.0,1.01,0.0,0.0,0.49,0.29,0.18,0.0,0.0,0.0,0.0,0.001,0.005,0.2,0.053,,,,,0.0,0.0,5.0,0.82,7.96,,0.069,0.14,0.5,7.93,0.057,17.0,30.5,5.0,326.0,0.1,1.0,119.0,0.0,0.03,0.0,,,0.055,0.045,0.54,0.074,0.02,2.0,0.02
25909,"Broth, stock or bouillon, meat and vegetables, dehydrated and reconstituted","Broth, stock or bouillon, meat and vegetables, dehydrated and reconstituted",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,19.9,4.8,19.9,4.8,98.1,0.2,0.2,0.1,0.4,0.0,,,,,,,0.1,0.0,0.0,1.09,0.0,0.0,0.2,0.09,0.05,,,,,,,,,,,,,,,0.0,1.08,1.0,,0.0,0.1,,2.0,0.01,1.0,15.0,0.0,430.0,,0.0,,,,,,0.0,0.06,0.01,0.0,0.02,0.01,12.0,0.05
25910,"Soup, onions, prepacked, to be reheated","Soup, onions, prepacked, to be reheated",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,169.0,40.4,169.0,40.4,92.7,1.35,1.35,4.93,1.4,1.5,,,,,,,,1.34,0.0,1.27,0.0,0.0,0.55,,0.26,0.0,0.0,0.0,,0.0,0.0,0.069,0.034,,,,,0.0,0.0,0.0,0.79,12.0,,0.054,0.27,,1.0,0.098,4.0,28.0,,315.0,0.25,1.0,1.0,0.0,0.11,0.2,,0.5,0.013,0.01,0.24,0.0,0.02,6.0,0.0
25912,"Soup, mushrooms, prepacked, to be reheated","Soup, mushrooms, prepacked, to be reheated",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,201.0,48.2,201.0,48.2,92.0,0.81,0.81,4.09,3.07,0.91,,,,,,,,0.52,0.0,1.0,0.0,0.0,1.58,0.4,0.96,0.014,0.011,0.0087,0.022,0.024,0.092,0.68,0.15,0.4,0.31,0.01,,0.0,0.0,3.3,0.78,7.0,490.0,0.016,0.09,8.4,2.0,0.018,12.0,62.0,,312.0,0.06,5.5,0.0,0.1,0.24,9.6,,,0.006,0.008,0.17,0.072,0.007,1.0,0.0
25913,"Soup, carrots, prepacked, to be reheated","Soup, carrots, prepacked, to be reheated",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,139.0,33.2,139.0,33.2,91.2,0.61,0.61,3.89,1.41,1.82,,,,,,,2.08,1.22,0.0,1.05,0.0,0.0,0.96,0.36,0.029,,,,,,,,,,,,,,,,0.65,15.0,,,0.3,,7.0,,20.0,140.0,,259.0,,4.0,3500.0,,,,,11.0,0.05,,0.65,,0.08,9.0,
25914,"Soup, tomatoes, prepacked, to be reheated","Soup, tomatoes, prepacked, to be reheated",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,163.0,38.7,163.0,38.7,90.3,0.74,0.74,6.27,0.99,2.95,0.9,,0.8,0.1,0.1,1.2,1.8,0.88,0.0,0.98,0.0,0.0,0.36,0.29,0.3,0.016,0.0079,0.005,0.0079,0.016,0.055,0.2,0.063,0.28,0.15,0.02,0.005,0.005,0.005,2.9,0.64,11.0,416.0,0.03,0.14,10.0,5.9,0.04,15.0,130.0,10.0,259.0,0.08,10.5,1680.0,0.6,0.69,1.01,,6.4,0.01,0.056,0.58,0.2,0.2,23.8,0.01
25915,"Soup, chorba frik, w meat and frik","Soup, chorba frik, w meat and frik",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,263.0,62.9,263.0,62.9,85.1,3.75,3.75,5.4,2.5,0.9,,,,,,,3.9,1.9,0.0,1.2,0.0,0.0,,,,,,,,,,,,,,,,,,11.0,0.84,19.0,,0.07,0.97,2.0,17.0,0.31,54.0,157.0,1.4,337.0,0.84,4.4,172.0,0.02,0.6,,,3.2,0.03,0.04,0.96,0.18,0.07,16.0,0.11
25916,"Soup, minestrone, prepacked, to be reheated","Soup, minestrone, prepacked, to be reheated",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,204.0,48.8,204.0,48.8,89.4,1.2,1.2,5.6,2.0,1.7,,,,,,,,1.8,0.0,1.0,0.0,0.0,0.6,0.34,0.29,0.03,0.02,0.01,0.02,0.03,0.05,0.2,0.095,,,,,0.0,0.0,1.5,0.75,33.3,460.0,0.11,0.56,1.0,12.5,0.11,34.5,106.0,1.1,300.0,0.19,0.0,885.0,0.0,0.67,3.2,,1.25,0.023,0.034,0.44,0.22,0.071,10.0,0.0
25917,"Soup, pistou (basil, garlic and olive oil), dehydrated and reconstituted","Soup, pistou (basil, garlic and olive oil), dehydrated and reconstituted",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,128.0,30.4,128.0,30.4,89.4,1.2,1.2,5.2,0.35,1.2,,,,,,,4.0,0.8,0.0,1.08,0.0,0.0,0.1,0.23,0.06,,,,,,,,,,,,,,,1.0,0.64,19.0,,0.1,0.4,1.0,14.0,0.1,24.0,132.0,2.2,256.0,0.19,0.0,900.0,,0.2,,,7.0,,,,,0.07,18.0,
25919,"Soup, fish and/or crustacean, dehydrated and reconstituted","Soup, fish and/or crustacean, dehydrated and reconstituted",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,122.0,29.0,122.0,29.0,90.6,0.91,0.91,5.09,0.5,1.06,,,,,,,,0.21,0.0,1.15,0.0,0.0,0.14,,,,,,,,,,,,,,,,,,0.63,,,,,,,,0.0,0.01,,253.0,,,,,,,,,,,,,,,
25923,"Soup, Asian-style with noodles, dehydrated and reconstituted","Soup, Asian-style with noodles, dehydrated and reconstituted",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,126.0,29.8,126.0,29.8,93.3,0.97,0.97,5.25,0.44,1.21,,,,,,,,0.49,0.0,0.96,0.0,0.0,0.17,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,37.8,,334.0,,,,,,,,,,,,,,,
25924,"Soup, Moroccan, dehydrated and reconstituted","Soup, Moroccan, dehydrated and reconstituted",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,145.0,34.3,145.0,34.3,90.0,1.2,1.2,5.77,0.55,1.49,,,,,,,,0.72,0.0,1.08,0.0,0.0,0.23,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,80.5,,318.0,,,,,,,,,,,,,,,
25925,"Soup, leek and potato, dehydrated and reconstituted","Soup, leek and potato, dehydrated and reconstituted",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,110.0,26.1,110.0,26.1,92.8,0.63,0.63,4.84,0.41,0.91,,,,,,,,0.28,0.0,0.8,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,0.72,,417.0,,,,,,0.013,0.023,,292.0,,10.0,90.0,,,,,30.0,0.07,,0.8,0.27,,,
25928,"Soup, chicken and vegetables, dehydrated and reconstituted","Soup, chicken and vegetables, dehydrated and reconstituted",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,115.0,27.3,115.0,27.3,,0.99,0.99,4.58,0.44,0.55,,,,,,,,0.51,0.0,0.73,0.0,0.0,0.17,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,292.0,,,,,,,,3.0,,,,,0.03,8.0,
25930,"Broth, stock or bouillon, beef, dehydrated and reconstituted","Broth, stock or bouillon, beef, dehydrated and reconstituted",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,38.3,9.05,38.3,9.05,97.6,0.6,0.6,1.33,0.15,0.33,,,,,,,0.0,0.0,0.0,1.03,0.0,0.0,0.057,0.068,0.0072,0.0,0.0,0.0,,0.00067,0.0048,0.03,0.021,0.068,0.0072,0.0,,0.0,0.0,0.0,0.74,5.25,,0.041,0.15,,2.0,0.027,0.01,0.01,0.0,290.0,0.048,0.0,0.0,0.0,0.01,0.0,,0.0,0.0029,0.015,0.55,0.016,0.0083,1.75,0.065
25932,"Soup, asparagus, dehydrated and reconstituted","Soup, asparagus, dehydrated and reconstituted",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,148.0,35.3,148.0,35.3,90.8,0.6,0.6,5.14,1.31,0.99,,,,,,,2.8,0.28,0.0,0.91,0.0,0.0,0.73,,,,,,,,,,,,,,,,,,0.76,,,,,,,,0.015,0.035,,303.0,,,,,,,,,,,,,,10.0,
25933,"Soup, tomatoes and vermicelli, prepacked, to be reheated","Soup, tomatoes and vermicelli, prepacked, to be reheated",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,158.0,37.7,158.0,37.7,,1.1,1.1,5.87,0.8,3.43,,,,,,,,1.3,0.0,0.77,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,307.0,,,,,,,,20.0,,,,,,,
25934,"Soup, cereals and vegetables, dehydrated and reconstituted","Soup, cereals and vegetables, dehydrated and reconstituted",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,201.0,47.8,201.0,47.8,90.0,1.4,1.4,6.8,1.4,1.2,,,,,,,,1.2,0.0,1.04,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,0.78,12.5,,,0.29,,9.35,,,94.0,,312.0,,,,,,,,3.84,0.04,,0.47,,0.07,16.8,
25935,"Soup, tomatoes, dehydrated and reconstituted","Soup, tomatoes, dehydrated and reconstituted",,1,starters and dishes,102,soups,0,-,ciqual_2020.csv,152.0,36.2,152.0,36.2,90.4,0.76,0.76,5.79,0.97,2.44,0.49,,0.68,0.1,0.29,0.98,2.4,0.64,0.0,1.03,0.0,0.0,0.32,0.41,0.16,0.005,0.005,0.005,0.0041,0.0041,0.017,0.26,0.033,0.41,0.15,0.01,0.005,0.005,0.005,2.02,0.69,11.0,417.0,0.03,0.14,10.0,5.0,0.04,10.0,65.0,10.0,278.0,0.1,10.5,147.0,,0.25,1.33,,0.25,0.02,0.017,0.46,0.064,0.027,6.85,0.14
