food_code,food_name,primarysource,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,source_file
BFP218,Broccoli chicken ala king,bfp_manual,119.56,5.34,7.97,7.57,2.49,1.92,3647.71,1626.4,366.19,27.85,73.36,111.25,19.27,104.01,297.25,0.78,0.1,4.72,0.0,0.16,0.01,0.67,61.75,0.92,0.03,0.29,78.7,5.89,44.67,0.1,0.14,2.12,0.68,0.19,3.56,44.67,33.8,285.51,bowl,BFP218.json
BFP220,Ginger chicken,bfp_manual,129.17,5.6,8.24,8.24,1.95,1.21,931.03,1401.98,3515.07,19.24,18.41,76.28,19.98,365.86,228.87,0.96,0.13,6.84,0.0,0.4,0.01,0.4,2.18,2.69,1.68,0.48,6.49,8.69,16.75,0.05,0.04,2.83,0.55,0.23,2.8,16.75,13.01,319.87,bowl,BFP220.json
BFP221,Chicken sweet and sour,bfp_manual,445.09,2.67,6.92,47.59,0.89,0.58,5583.19,9338.18,27686.4,32.47,21.98,77.46,13.05,1809.94,153.46,0.93,0.09,5.04,0.0,0.12,0.0,0.37,11.5,21.55,0.87,0.35,5.33,6.74,8.92,0.03,0.02,1.85,0.35,0.14,2.76,8.92,6.73,195.14,bowl,BFP221.json
BFP222,Chicken korma,bfp_manual,147.96,5.43,9.83,9.67,3.32,1.82,1864.37,1828.76,3105.99,23.66,68.66,123.22,29.57,119.21,277.53,1.06,0.19,7.46,0.0,0.57,0.09,0.68,8.46,2.39,0.89,0.48,6.06,9.61,16.96,0.07,0.09,3.02,0.63,0.26,2.76,16.96,2.89,205.18,bowl,BFP222.json
BFP223,Bengal fish curry (Bengali machli curry),bfp_manual,109.43,4.42,7.26,7.03,2.39,1.93,1572.69,3341.41,1449.01,13.92,44.44,95.07,27.62,76.38,207.98,0.85,0.08,9.85,0.01,0.87,0.05,0.44,11.12,0.46,1.18,0.2,7.87,0.32,14.96,0.04,0.03,0.66,0.5,0.09,1.1,14.96,3.02,361.12,bowl,BFP223.json
BFP226,Fish finger,bfp_manual,542.9,4.47,5.66,55.82,0.17,0.34,7271.08,11528.49,34548.42,30.0,11.38,67.87,12.17,103.55,135.39,0.38,0.04,9.15,0.0,0.05,0.0,0.26,17.99,27.01,0.17,0.18,3.73,1.05,7.85,0.03,0.02,0.5,0.39,0.06,1.19,7.85,3.18,47.23,fillet,BFP226.json
BFP229,Fish in coconut milk (Nariyal ke doodh ke saath machli),bfp_manual,86.21,2.73,8.66,4.43,1.55,1.52,2118.42,492.67,1035.87,17.13,21.94,99.28,23.46,73.93,190.38,0.91,0.1,23.8,0.01,0.24,0.03,0.38,6.02,1.07,1.08,0.08,6.82,1.94,11.67,0.04,0.05,1.11,0.59,0.08,2.75,11.67,3.29,279.51,dish,BFP229.json
BFP230,Prawn curry (with coconut) (Jhinga curry),bfp_manual,109.55,3.1,8.54,6.93,2.03,1.56,2466.34,1037.81,2379.04,37.12,37.25,115.45,35.67,375.86,150.65,0.96,0.23,25.13,0.01,0.18,0.06,0.72,0.65,3.54,1.65,0.62,7.49,155.7,15.25,0.02,0.03,0.66,0.95,0.09,0.41,15.25,1.3,290.41,bowl,BFP230.json
BFP231,Baked stuffed fish,bfp_manual,121.96,2.12,16.14,5.43,0.35,0.38,2888.68,1141.42,813.98,36.95,18.8,182.0,29.35,74.36,242.97,0.35,0.06,24.39,0.01,0.05,0.01,0.48,37.5,1.08,1.52,0.5,2.59,0.81,11.02,0.05,0.03,1.25,0.95,0.12,0.46,11.02,2.14,422.28,fish,BFP231.json
BFP232,Fish pie,bfp_manual,120.9,7.74,9.25,5.77,1.13,0.76,3348.72,1359.11,552.32,23.97,36.15,123.74,24.55,101.8,316.28,0.46,0.07,12.54,0.01,0.1,0.02,0.41,43.75,0.65,0.34,0.25,3.63,0.4,12.12,0.05,0.04,0.94,0.67,0.1,0.95,12.12,8.84,183.6,pie,BFP232.json
BFP233,Crispy baked fish,bfp_manual,138.4,9.59,10.95,6.41,1.53,1.21,3546.25,1436.51,584.93,28.89,60.04,147.43,24.23,192.42,208.73,0.55,0.07,14.37,0.01,0.15,0.02,0.51,56.78,0.7,3.33,0.27,8.22,0.44,16.53,0.07,0.04,1.03,0.6,0.1,1.22,16.53,6.0,1112.31,casserole dish,BFP233.json
BFP234,Fish souffle,bfp_manual,139.71,5.14,10.51,8.55,2.09,0.19,4629.53,2325.81,708.1,84.69,63.87,148.86,18.5,92.45,167.34,0.59,0.05,17.3,0.01,0.06,0.02,0.57,82.71,0.85,0.37,0.35,0.64,2.81,15.32,0.05,0.09,0.56,0.8,0.09,3.93,15.32,0.82,144.69,dish,BFP234.json
BFP239,Potato curry (Aloo ki sabzi),bfp_manual,89.56,10.42,1.52,4.47,1.58,2.42,548.66,961.12,2684.73,0.0,23.74,38.19,25.3,78.4,383.45,0.97,0.1,0.51,0.0,0.28,0.05,0.31,0.0,2.08,3.37,0.0,12.09,0.0,17.65,0.05,0.02,0.76,0.31,0.1,1.43,17.65,20.92,1767.43,bowl,BFP239.json
BFP240,Egg curry (Anda curry),bfp_manual,117.52,4.03,5.38,8.81,1.9,2.09,1676.7,2417.37,3865.28,120.74,41.59,83.17,21.72,142.12,198.53,1.52,0.1,13.53,0.0,0.29,0.07,0.63,65.32,3.22,4.36,0.28,14.68,4.82,29.51,0.05,0.08,0.37,0.64,0.12,7.03,29.51,12.55,2257.77,bowl,BFP240.json
